Feature,Importance
Ever_Married_Yes,0.2989596310144856
Family_Size,0.20622989063882405
Age,0.19471824539884192
Profession_Executive,0.07072442734386873
Profession_Lawyer,0.05351101847885104
Work_Experience,0.037607235682046034
Profession_Healthcare,0.03108695797001793
Graduated_Yes,0.018564719216340925
Gender_Male,0.016999426810407645
Var_1_Cat_6,0.012798901703193189
Var_1_Cat_4,0.01019235320883886
Profession_Entertainment,0.0089232072258752
Var_1_Cat_3,0.008546374376959168
Profession_Marketing,0.006497111780631152
Profession_Engineer,0.005960975092855314
Profession_Doctor,0.005290199736890668
Var_1_Cat_2,0.005216527426548224
Var_1_Cat_7,0.003584236847891458
Profession_Homemaker,0.0032679741730747254
Var_1_Cat_5,0.0013205858735582817
